Table Legend
------------
x-axis:  number of primes (base 2 log)
y-axis:  number of curve points (base 2 log)
entries: largest factor bitwidth that ECM can find with probability at least 50%

   | 1  2  3  4  5  6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40
 1 | 2  3  6  9 11 11  13  16  18  20  22  24  26  28  30  32  34  36  38  40  42  44  45  47  49  51  53  55  57  59  61  63  64  66  68  70  72  74  76  77
 2 | 2  4  7 11 14 14  17  19  22  25  27  30  32  35  37  39  42  44  47  49  51  54  56  58  61  63  65  68  70  72  75  77  79  82  84  86  89  91  93  95
 3 | 2  5  9 13 16 17  20  23  26  29  32  35  38  41  43  46  49  52  55  57  60  63  66  68  71  74  77  79  82  85  87  90  93  96  98 101 104 106 109 112
 4 | 2  5 10 15 19 19  23  26  30  33  36  40  43  46  49  53  56  59  62  65  68  72  75  78  81  84  87  90  93  96  99 102 106 109 112 115 118 121 124 127
 5 | 2  6 11 17 21 21  25  29  33  37  41  44  48  52  55  59  62  66  69  73  76  80  83  87  90  94  97 100 104 107 111 114 117 121 124 128 131 134 138 141
 6 | 2  6 12 18 23 24  28  32  36  41  45  49  53  57  61  64  68  72  76  80  84  88  91  95  99 103 106 110 114 118 121 125 129 133 136 140 144 147 151 155
 7 | 2 13 13 20 25 26  30  35  40  44  49  53  57  62  66  70  74  78  83  87  91  95  99 103 107 111 115 120 124 128 132 136 140 144 148 152 156 160 164 168
 8 | 2 15 15 22 27 28  33  38  43  48  52  57  62  66  71  75  80  84  89  93  98 102 107 111 116 120 124 129 133 137 142 146 150 155 159 163 168 172 176 181
 9 | 2 16 16 23 29 30  35  41  46  51  56  61  66  71  76  81  85  90  95 100 105 109 114 119 123 128 133 138 142 147 151 156 161 165 170 175 179 184 188 193
10 | 2 17 17 25 31 32  37  43  49  54  60  65  70  75  81  86  91  96 101 106 111 116 121 126 131 136 141 146 151 156 161 166 171 176 181 186 190 195 200 205
11 | 2 19 18 26 33 33  40  46  52  57  63  69  74  80  85  91  96 102 107 112 118 123 128 134 139 144 149 155 160 165 170 175 181 186 191 196 201 207 212 217
12 | 2 20 19 28 35 35  42  48  54  60  66  72  78  84  90  96 101 107 113 118 124 130 135 141 146 152 157 163 168 174 179 185 190 196 201 207 212 218 223 228
13 | 2 21 22 29 37 37  44  51  57  64  70  76  82  88  94 100 106 112 118 124 130 136 142 148 154 159 165 171 177 182 188 194 200 205 211 217 223 228 234 240
14 | 2 23 24 31 38 39  46  53  60  67  73  80  86  92  99 105 111 118 124 130 136 142 148 155 161 167 173 179 185 191 197 203 209 215 221 227 233 239 245 251
15 | 2 24 25 32 40 41  48  55  63  70  76  83  90  97 103 110 116 123 129 136 142 149 155 161 168 174 180 187 193 199 206 212 218 224 231 237 243 249 256 262
16 | 2 25 27 33 42 42  50  58  65  72  80  87  94 101 107 114 121 128 135 141 148 155 161 168 175 181 188 194 201 208 214 221 227 234 240 247 253 260 266 273
17 | 2 26 28 35 43 44  52  60  68  75  83  90  97 105 112 119 126 133 140 147 154 161 168 175 182 188 195 202 209 216 223 229 236 243 250 256 263 270 277 283
18 | 2 27 30 36 45 46  54  62  70  78  86  93 101 108 116 123 131 138 145 152 160 167 174 181 188 195 203 210 217 224 231 238 245 252 259 266 273 280 287 294
